Status,Date_Time,City,State,Country,Shape,Summary,Has_Media,Explanation
Open,05/18/2025 21:27,San Francisco,CA,USA,Rectangle,"Small craft traveling steadily at a rapid pace eastward from the ocean; no lights, no sign of propulsion; definitely not starlink",05/19/2025,
Open !,05/16/2025 23:00,Los Olivos,CA,USA,Unknown,I saw a huge glowing object I thought it had to be winery sign but was too huge and high in sky mother ship fading in/out of sight.,05/23/2025,Y
Open,05/16/2025 20:24,Visalia,CA,USA,Orb,8 orbs going over my house heading east.,06/07/2025,Y
Open,05/15/2025 05:11,Big Bear Lake,CA,USA,Circle,"Couldn't have been stars, planets, or normal sky activity.",05/16/2025,Y
Open,05/13/2025 20:00,Folsom,CA,USA,Changing,Craft shifted from orb of light to unmarked airplane that flew overhead,05/14/2025,
Open,05/13/2025 08:52,Marysville,CA,USA,Cylinder,"Seen a flying object cut through a low cloud directly in front of my car, then watched it sped away out of vision",05/13/2025,
Open,05/13/2025 08:40,San Jose,CA,USA,Cigar,Large silver-white capsule-shaped object seen hovering silently in the clear morning sky above Highway 85 near the 101 merge in the Bay,05/13/2025,
Open .,05/10/2025 00:56,Beaumont,CA,USA,Rectangle,Large light light appearing and dimming. Unknown aircraft with blue/purple lights on tips. Strange “search light”,05/10/2025,
Open,05/09/2025 20:39,La Mirada,CA,USA,Orb,Three orbs were lined diagonally a line descending from left to right. These orbs were not on flight radar,05/09/2025,Y
Open,05/08/2025 21:43,Lemoore,CA,USA,Orb,"This object was bright, and moving slower than a plane so caught my attention. It was flying from south west towards north east.",05/11/2025,Y
Open,05/08/2025 01:00,Independence,CA,USA,Light,"Saw “star” object appear and disappear, pulled over to watch for 30min and there were multiple crafts.",05/08/2025,Y
Open,05/07/2025 22:43,Los Angeles,CA,USA,Unknown,Lights are lined up just floating in the air. Not sure how many lights.,05/07/2025,Y
Open,05/05/2025 22:00,Sacramento,CA,USA,Sphere,I was recording the sky outside at night when 3 orbs starting steadily glazing across the sky in unison;split at will,09/15/2025,
Open,05/05/2025 05:32,Fremont,CA,USA,Orb,Started recording bright light in early morning sky,05/27/2025,Y
Open .,05/02/2025 22:00,Pacific Grove,CA,USA,Other,"A ""cloud"" that elongated and then shot across the sky in a fraction of a second",08/06/2025,
Open,05/02/2025 20:30,Chino,CA,USA,Formation,28 lights traveling west to east very fast (not satellites),05/02/2025,Y
Open,05/01/2025 23:10,Richfield,CA,USA,Orb,A large white orb moving at high speed.,05/03/2025,
Open .,05/01/2025 22:28,Los Angeles,CA,USA,Light,"Ascending White Light, Shines a Beam of Light, Flashes, then Disappears",09/02/2025,Y
Open,05/01/2025 20:30,Borrego Springs,CA,USA,Light,"Clark Dry Lake bed UAP: single object with two vertical cones of light, zero noise, no FAA strobes",07/24/2025,
Open,04/30/2025 14:34,Escondido,CA,USA,Oval,I was driving east to pick up my son from school when I saw about nine metallic color objects in the horizon sky.,05/01/2025,Y
Open,04/30/2025 13:51,Rocklin,CA,USA,Other,I saw white flashing things in the sky .They disappeared and reappeared. That happened more than once. I caught it on camera.,04/30/2025,Y
Open,04/28/2025 20:30,Cottonwood,CA,USA,Oval,It was a cylinder shape with a light on the bottom that looked foggy but it was a clear night moved unnaturally,04/28/2025,
